metros,february 2022,february 2021
Miami Fort Lauderdale West Palm Beach, FL,60,38
Los Angeles Long Beach Anaheim, CA,46,39
Riverside San Bernardino Ontario, CA,46,41
Tampa St Petersburg Clearwater, FL,45,33
San Diego Carlsbad, CA,43,35
New York Newark Jersey City, NY NJ PA,41,37
Las Vegas Henderson Paradise, NV,40,31
New Orleans Metairie, LA,37,33
Orlando Kissimmee Sanford, FL,37,27
Phoenix Mesa Scottsdale, AZ,35,28
Sacramento Roseville Arden Arcade, CA,32,29
Memphis, TN MS AR,31,25
Cleveland Elyria, OH,31,29
San Francisco Oakland Hayward, CA,31,28
